type,id,name,state,lat,lon
State,St001,Perlis,Perlis,6.4868392,100.2577623
State,St002,Kedah,Kedah,5.8098265,100.6715035
State,St003,Pulau Pinang,Pulau Pinang,5.4065013,100.2559077
State,St004,Perak,Perak,4.8121810,100.9797908
State,St005,Kelantan,Kelantan,5.4021302,102.0635972
State,St006,Terengganu,Terengganu,4.8630743,102.9949297
State,St007,Pahang,Pahang,3.6168822,102.5994547
State,St008,Selangor,Selangor,3.2083304,101.3041460
State,St009,WP Kuala Lumpur,WP Kuala Lumpur,3.1686831,101.6676849
State,St010,WP Putrajaya,WP Putrajaya,,
State,St011,Negeri Sembilan,Negeri Sembilan,2.7831895,102.1925319
State,St012,Melaka,Melaka,2.3293744,102.2880962
State,St013,Johor,Johor,2.0228821,103.3114564
State,St501,Sarawak,Sarawak,2.5023855,112.9547283
State,St502,Sabah,Sabah,5.4257359,117.0326392
State,St503,WP Labuan,WP Labuan,5.2834882,115.2249641
District,Ds001,Langkawi,Kedah,6.3700386,99.7928634
District,Ds002,Perlis,Perlis,6.4868392,100.2577623
District,Ds003,Kubang Pasu,Kedah,6.3356376,100.3723218
District,Ds004,Kota Setar,Kedah,6.1226030,100.3690317
District,Ds005,Pokok Sena,Kedah,6.1730525,100.5203915
District,Ds006,Padang Terap,Kedah,6.2566513,100.6645805
District,Ds007,Yan,Kedah,5.8482755,100.4151899
District,Ds008,Pendang,Kedah,5.9720841,100.5501852
District,Ds009,Kuala Muda,Kedah,5.7073152,100.4952892
District,Ds010,Sik,Kedah,5.9239011,100.8231021
District,Ds011,Barat Daya,Pulau Pinang,5.3356587,100.2389496
District,Ds012,Timur Laut,Pulau Pinang,5.4103136,100.2870311
District,Ds013,Seberang Perai Utara,Pulau Pinang,5.4992806,100.4467987
District,Ds014,Seberang Perai Tengah,Pulau Pinang,5.3610703,100.4573584
District,Ds015,Baling,Kedah,5.5507199,100.7975870
District,Ds016,Kulim,Kedah,5.3707128,100.6172071
District,Ds017,Seberang Perai Selatan,Pulau Pinang,5.2169636,100.4804658
District,Ds018,Bandar Baharu,Kedah,5.1672991,100.5849347
District,Ds019,Kerian,Perak,5.0345753,100.4984585
District,Ds020,"Larut, Matang Dan Selama",Perak,4.8166928,100.6643621
District,Ds021,Hulu Perak,Perak,5.4479728,101.2971493
District,Ds022,Tumpat,Kelantan,6.1763960,102.1663281
District,Ds023,Pasir Mas,Kelantan,6.0080942,102.0925134
District,Ds024,Kota Bharu,Kelantan,6.1247911,102.2378065
District,Ds025,Jeli,Kelantan,5.5900186,101.8171685
District,Ds026,Kuala Kangsar,Perak,4.7720713,100.9408776
District,Ds027,Tanah Merah,Kelantan,5.7663046,102.0341478
District,Ds028,Bachok,Kelantan,5.9951191,102.3867413
District,Ds029,Manjung,Perak,4.3347610,100.6342662
District,Ds030,Machang,Kelantan,5.7676702,102.2380822
District,Ds031,Pasir Puteh,Kelantan,5.8346168,102.3829644
District,Ds032,Kinta,Perak,4.5833333,101.0833333
District,Ds033,Perak Tengah,Perak,4.2500000,100.9166667
District,Ds034,Kuala Krai,Kelantan,5.5311582,102.1993666
District,Ds035,Kampar,Perak,4.3006600,101.1614462
District,Ds036,Bagan Datuk,Perak,3.9166667,100.9166667
District,Ds037,Besut,Terengganu,5.5833333,102.5000000
District,Ds038,Tanah Tinggi Cameron,Pahang,4.4710791,101.3751732
District,Ds039,Gua Musang,Kelantan,5.0198136,102.0382663
District,Ds040,Hilir Perak,Perak,4.0000000,101.0000000
District,Ds041,Batang Padang,Perak,4.0833333,101.3333333
District,Ds042,Setiu,Terengganu,5.5500806,102.7355111
District,Ds043,Sabak Bernam,Selangor,3.6871153,101.0580588
District,Ds044,Lipis,Pahang,4.3242506,101.9085845
District,Ds045,Muallim,Perak,3.8333333,101.5000000
District,Ds046,Kuala Nerus,Terengganu,5.3957398,103.0615343
District,Ds047,Hulu Terengganu,Terengganu,4.9106890,102.7650701
District,Ds048,Kuala Terengganu,Terengganu,5.3296461,103.1383265
District,Ds049,Kuala Selangor,Selangor,3.3621022,101.3455503
District,Ds050,Raub,Pahang,3.8843564,101.7920275
District,Ds051,Hulu Selangor,Selangor,3.5367441,101.5949347
District,Ds052,Marang,Terengganu,5.1666667,103.1666667
District,Ds053,Jerantut,Pahang,4.2834137,102.5575232
District,Ds054,Klang,Selangor,3.0448394,101.4447363
District,Ds055,Gombak,Selangor,3.3000000,101.7000000
District,Ds056,Dungun,Terengganu,4.7643972,103.4184463
District,Ds057,Petaling,Selangor,3.0833330,101.5833330
District,Ds058,Kuala Lumpur,WP Kuala Lumpur,3.1516964,101.6942371
District,Ds059,Bentong,Pahang,3.3624708,102.0172675
District,Ds060,Kuala Langat,Selangor,2.8365619,101.4961821
District,Ds061,Temerloh,Pahang,3.6124468,102.2566818
District,Ds062,Putrajaya,WP Putrajaya,2.9384381,101.6922300
District,Ds063,Hulu Langat,Selangor,3.0833330,101.8333330
District,Ds064,Sepang,Selangor,2.8008619,101.7094012
District,Ds065,Kemaman,Terengganu,4.2395838,103.1912607
District,Ds066,Maran,Pahang,3.6014430,102.6410048
District,Ds067,Jelebu,Negeri Sembilan,3.0366264,102.1179206
District,Ds068,Seremban,Negeri Sembilan,2.7230990,101.9400601
District,Ds069,Kuantan,Pahang,3.7974493,103.3219191
District,Ds070,Port Dickson,Negeri Sembilan,2.5262491,101.8106156
District,Ds071,Bera,Pahang,3.2366738,102.5417723
District,Ds072,Kuala Pilah,Negeri Sembilan,2.7430758,102.2154881
District,Ds073,Rembau,Negeri Sembilan,2.5578923,102.1081637
District,Ds074,Jempol,Negeri Sembilan,2.8502724,102.5081957
District,Ds075,Alor Gajah,Melaka,2.3834528,102.2107805
District,Ds076,Pekan,Pahang,3.3781961,103.2096122
District,Ds077,Tampin,Negeri Sembilan,2.5542371,102.4459956
District,Ds078,Melaka Tengah,Melaka,2.2301451,102.2453068
District,Ds079,Jasin,Melaka,2.3058097,102.4223390
District,Ds080,Rompin,Pahang,2.8245772,103.0993556
